"WikiPlantaID"	"COL_NOTDECENVIR"	"FLO_NOTDEFLO"	"COL_VIRIGUA"	"COL_TIPDEAMO"	"HAB_HAB"	"FRU_NOTDEFRU"	"COL_AMO"	"COL_AMO_UNIT"	"COL_FER"	"COL_NOT"	"HAB_DAP"	"HAB_DAP_UNIT"	"COL_DAP"	"COL_DAP_UNIT"	"COL_ABU"	"IMA_FOLFACABA"	"IMA_EXS"	"IMA_FOLFACADA"
"1726"	"co"				"árvore"	"Infrutescências imaturas com coloração verde."	"3"	"número"	"frutos"	"Altura aproximada do indivíduo de 8m e copa logo abaixo do dossel."
"1727"	"co"				"árvore"		"3"	"número"	"estéril"	"rvore presente exclusivamente nas campinaranas florestadas sobre solos levemente mais argilosos."
"1780"	"co"	"Presença de inflorescência com alta densidade de flores. Pétalas brancas e rosadas e estames amarelados."			"árvore"		"1"	"número"	"flores"	"Planta com altura aproximada de 6 metros e bastante comum nas campinaranas florestadas e aburstivas. Ritidoma levemente fissurado e gretado."
"1815"	"co"			"folhas em sílica"	"árvore"		"3"	"número"	"estéril"	"Planta muito comum nas campinaranas florestadas sobre solos extremamente arenosos. Ritidoma acinzentado com fissuras e gretas."
"1910"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Indivíduo com baixa densidade nas campinaranas florestadas."
"2119"	"co"				"árvore"	"Presença de inflorescência sem flores e alguns frutos em estado de maturação. Coloração dos frutos amarelada."	"1"	"número"	"frutos"
"2121"	"co"	"Presença de botões florais imaturos em desenvolvimento."			"árvore"		"2"	"número"	"flores"	"Planta muito comum nas campinaranas florestadas e inundáveis podendo atingir a altura do dossel florestal."
"2124"	"co"	"Presença de flores na fase de transição para formação dos frutos. Coloração amarelada."			"árvore"		"2"	"número"	"flores"	"Indivíduo comum nas campinaranas florestadas, podendo atingir os estratos emergentes. Ritidoma acinzentado com alta densidade de lenticelas."
"2126"	"co"	"Flores com pétalas de coloração branca e estames com anteras de coloração roxa."			"árvore"		"5"	"número"	"flores"	"Indivíduo comum nas campinaranas florestadas e arbustivas. Altura aproximada de 10 metros e dossel da campinaranas com 15 de altura."
"2132"	"co"			"folhas em sílica"	"árvore"		"4"	"número"	"estéril"	"Planta muito comum nas campinaranas do PARNA Viruá, principalmente nas campinaranas florestadas sobre solos extremamente arenosos. Ritidoma com coloração marrom escuro e bastante fissurado."
"2147"	"co"	"Inflorescência com alta densidade de flores de coloração alva e esverdeadas."			"árvore"		"1"	"número"	"flores"	"Indivíduo pouco comum nas campinaranas florestadas. Base do tronco reta e Indivíduo com altura aproximada de 12 metros."
"2187"	"co"	"Presença de flores com estames de coloração roxa. Muitas flores caídas."		"folhas em sílica"	"árvore"		"2"	"número"	"flores"	"rvore muito comum nas áreas de campinarana florestada sobre solos extremamente arenosos."
"2230"	"co"	"Presença de botões florais em desenvolvimento."		"folhas em sílica"	"árvore"		"2"	"número"	"flores"	"Planta muito comum nas campinaras do PARNA Viruá."
"2242"	"co"				"árvore"	"Presença de frutos imaturos verdes."	"3"	"número"	"frutos"	"Indivíduo com ritidoma fissurado com coloração avermelhada. Altura aproximada de 10 metros."
"2256"	"co"	"Inflorescência bem pilosa com coloração ferrugínea. Flores em maturação."			"árvore"		"3"	"número"	"flores"	"Altura do invivíduo aproximada de 12 metros. Ritidoma fissurado com lenticelas vizíveis."
"2294"	"co"				"árvore"	"Frutos com textura espinhenta de coloração avermelhada."	"2"	"número"	"frutos"	"Ritidoma castanho com desprendimento em placas. Base do tronco levemente irregular."
