"WikiPlantaID"	"TAG_NUM"	"Family"	"Genus"	"Species"	"LOCAL"	"PosX"	"PosY"	"DAPultimo"	"DAPpom"	"STATUS"	"OBS"
"17914"	"537"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Parcela 15"	"0.6"	"47.5"	"67"	""	"Viva"	""
"17915"	"136"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 16"	"0.5"	"6.5"	"92"	""	"Viva"	""
"17916"	"138"	"Malvaceae"	"Catostemma"	"Catostemma"	"Parcela 16"	"0.8"	"19.5"	"100"	""	"Viva"	""
"17917"	"2177"	"Sapotaceae"	""	"Sapotaceae"	"Parcela 16"	"0.7"	"23"	"102"	""	"Viva"	""
"17918"	"2094"	"Apocynaceae"	"Macoubea"	"Macoubea"	"Parcela 16"	"0.4"	"32.3"	"104"	""	"Viva"	""
"17919"	"2341"	"Humiriaceae"	""	"Humiriaceae"	"Parcela 17"	"1"	"9.1"	"107"	""	"Viva"	""
"17920"	"2605"	"Malvaceae"	"Pachira"	"Pachira"	"Parcela 17"	"0.7"	"18.4"	"80"	""	"Viva"	""
"17921"	"2375"	"Pentaphylacaceae"	"Ternstroemia"	"Ternstroemia"	"Parcela 17"	"0.7"	"43"	"82; 57"	""	"Viva"	""
"17922"	"1215"	"Arecaceae"	"Oenocarpus"	"Oenocarpus minor"	"Parcela 18"	"1"	"8.3"	"130"	""	"Viva"	""
"17923"	"439"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Parcela 19"	"0.8"	"1.6"	"160"	""	"Viva"	""
"17924"	"1101"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 19"	"0.1"	"2.6"	"78"	""	"Viva"	""
"17925"	"1046"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 19"	"0.4"	"18"	"77"	""	"Viva"	""
"17926"	"950"	"Malvaceae"	"Theobroma"	"Theobroma"	"Parcela 19"	"0.8"	"18.3"	"138"	""	"Viva"	""
"17927"	"1229"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Parcela 19"	"0.6"	"2.8"	"56"	""	"Viva"	""
