"WikiMonitoramentoID"	"WikiPlantaID"	"TAG_NUM"	"FAMILIA"	"GENERO"	"NOME"	"HABITO"	"COUNTRY"	"PROVINCE"	"MUNICIPIO"	"GAZETTEER"	"PAR_GAZ_SPEC"	"PAR_GAZ_DIMx"	"PAR_GAZ_DIMy"	"GAZETTEER_SPEC"	"GAZ_DIMx"	"GAZ_DIMy"	"GAZ_Startx"	"GAZ_Starty"	"POS_X"	"POS_Y"	"POS_LADO"	"POS_REF"	"POS_DIST"	"POS_ANGULO"	"HABITAT_CLASSE"	"CensoNome"	"DATA_OBS"	"TRAIT_NOME"	"UNIDADE_MEDIDA"	"DAP_1"	"DAP_2"	"DAP_3"	"DAP_4"	"DAP_5"	"DAP_6"	"DAP_7"	"DAP_8"	"DAP_9"	"CO_DAP_POM"
"8348"	"4993"	"11158"	"Chrysobalanaceae"	"Hirtella"	"Hirtella physophora"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"103.36"	"3.14"	"d"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-16"	"HA_DAP"	"mm"	"425"	""	""	""	""	""	""	""	""	""
"7933"	"4603"	"11240"	"Clusiaceae"	"Clusia"	"Clusia cf. columnaris"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"113.8"	"1.6"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-14"	"HA_DAP"	"mm"	"62"	""	""	""	""	""	""	""	""	""
"8233"	"4896"	"11275"	"Moraceae"	"Brosimum"	"Brosimum utile"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"248.4"	"8.73"	"d"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-15"	"HA_DAP"	"mm"	"137"	""	""	""	""	""	""	""	""	""
"8269"	"4925"	"1128"	"Melastomataceae"	"Tococa"	"Tococa guianensis"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"191.45"	"3.19"	"d"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-16"	"HA_DAP"	"mm"	"101"	""	""	""	""	""	""	""	""	""
"8172"	"4835"	"1129"	"Chrysobalanaceae"	"Licania"	"Licania micrantha"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"223.06"	"1.83"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-15"	"HA_DAP"	"mm"	"104"	""	""	""	""	""	""	""	""	""
"8383"	"5027"	"11303"	"Rubiaceae"	"Duroia"	"Duroia cf. paraensis"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"54.63"	"10.54"	"d"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-16"	"HA_DAP"	"mm"	"128"	""	""	""	""	""	""	""	""	""
"8294"	"4947"	"11314"	"Burseraceae"	"Protium"	"Protium cf. trifoliolatum"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"163.11"	"4.9"	"d"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-16"	"HA_DAP"	"mm"	"160"	"111"	"103"	""	""	""	""	""	""	""
"8292"	"4945"	"11338"	"Ochnaceae"	"Elvasia"	"Elvasia cf. canescens"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"165.46"	"10.92"	"d"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-16"	"HA_DAP"	"mm"	"190"	""	""	""	""	""	""	""	""	""
"7900"	"4571"	"11363"	"Fabaceae"	"Andira"	"Andira trifoliolata"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"89.34"	"1.6"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-14"	"HA_DAP"	"mm"	"11"	""	""	""	""	""	""	""	""	""
"8188"	"4851"	"11371"	"Annonaceae"	"Xylopia"	"Xylopia barbata"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"231.51"	"2.48"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-15"	"HA_DAP"	"mm"	"19"	""	""	""	""	""	""	""	""	""
"7859"	"4530"	"11373"	"Lauraceae"	"Mezilaurus"	""	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"64.85"	"0.66"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-14"	"HA_DAP"	"mm"	"20"	"12"	""	""	""	""	""	""	""	""
"197"	"130"	"11375"	"Moraceae"	"Brosimum"	"Brosimum cf. guianense"	"palmeira"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"34.37"	"1.51"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-14"	"HA_DAP"	"mm"	"53"	""	""	""	""	""	""	""	""	""
"7926"	"4597"	"11382"	"Linaceae"	"Roucheria"	"Roucheria cf. calophylla"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"108.41"	"2.84"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-14"	"HA_DAP"	"mm"	"165"	"41"	""	""	""	""	""	""	""	""
"7737"	"4410"	"11407"	"Chrysobalanaceae"	"Licania"	"Licania sp.1"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"2.93"	"1.5"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-14"	"HA_DAP"	"mm"	"13"	""	""	""	""	""	""	""	""	""
"7910"	"4581"	"11411"	"Chrysobalanaceae"	"Licania"	"Licania micrantha"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"93.7"	"2.99"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-14"	"HA_DAP"	"mm"	"155"	""	""	""	""	""	""	""	""	""
"8416"	"5058"	"11434"	"Myristicaceae"	"Virola"	"Virola cf. surinamensis"	"árvore"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"15.15"	"6.65"	"d"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-16"	"HA_DAP"	"mm"	"327"	""	""	""	""	""	""	""	""	""
"192"	"125"	"11442"	"Myrtaceae"	"Myrcia"	"Myrcia grandis"	"palmeira"	"Brasil"	"Roraima"	"Caracaraí"	"Parque Nacional Viruá - GRID PPBIO - Parcela L02-4500"	"GRID PPBIO"	"0"	"0"	"Parcela L02-4500"	"250"	"40"	"0"	"0"	"23.96"	"4.02"	"E"	""	"0"	"0"	"Campinarana. Campinarana Florestada. Inundável"	"Censo01_Area1"	"2008-02-14"	"HA_DAP"	"mm"	"93"	""	""	""	""	""	""	""	""	""
