"WikiPlantaID"	"TAG_NUM"	"NOME"	"NOME_AUTOR"	"FAMILY"	"GENUS"	"SP1"	"AUTHOR1"	"SP1_MORFOTIPO"	"RANK1"	"SP2"	"AUTHOR2"	"SP2_MORFOTIPO"	"CF"	"DETBY"	"DETDATA"	"COUNTRY"	"MINORAREA"	"MAJORAREA"	"GAZETTEER_CURTO"	"GAZETTEER_COMPLETA"	"GAZETTEER_SPECIFIC"	"LATITUDE"	"LONGITUDE"	"ALTITUDE"	"Pos_X"	"Pos_Y"	"Pos_LADO"	"Pos_REF"	"Pos_DIST"	"Pos_ANGULO"	"HABITAT_CLASSE"	"NOME_VULGAR"	"MARCADO_POR"	"DATA_MARCACAO"	"PROJETO"
"17807"	"2439"	"Scleronema micranthum"	"Scleronema micranthum (Ducke) Ducke"	"Malvaceae"	"Scleronema"	"micranthum"	"(Ducke) Ducke"	"0"	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 15"	"Parcela 15"	"-2.8481864557"	"-60.2340015583"	""	"0.2"	"7.5"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17808"	"172"	"Macrolobium"	"Macrolobium"	"Fabaceae"	"Macrolobium"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 15"	"Parcela 15"	"-2.8481864557"	"-60.2340015583"	""	"0.2"	"7.8"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17809"	"545"	"Catostemma"	"Catostemma"	"Malvaceae"	"Catostemma"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 15"	"Parcela 15"	"-2.8481864557"	"-60.2340015583"	""	"1"	"21.9"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17810"	"1771"	"Pagamea"	"Pagamea"	"Rubiaceae"	"Pagamea"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 15"	"Parcela 15"	"-2.8481864557"	"-60.2340015583"	""	"0.5"	"21.7"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17811"	"53"	"Oenocarpus bataua"	"Oenocarpus bataua Mart."	"Arecaceae"	"Oenocarpus"	"bataua"	"Mart."	"0"	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 15"	"Parcela 15"	"-2.8481864557"	"-60.2340015583"	""	"0.7"	"38.5"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17812"	"1850"	"Ternstroemia"	"Ternstroemia"	"Pentaphylacaceae"	"Ternstroemia"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 16"	"Parcela 16"	"-2.8485813271"	"-60.2338700462"	""	"0"	"14.4"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17813"	"2388"	"Aldina heterophylla"	"Aldina heterophylla Spruce ex Benth."	"Fabaceae"	"Aldina"	"heterophylla"	"Spruce ex Benth."	"0"	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 16"	"Parcela 16"	"-2.8485813271"	"-60.2338700462"	""	"0.3"	"41.5"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17817"	"2460"	"Pradosia"	"Pradosia"	"Sapotaceae"	"Pradosia"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 13"	"Parcela 13"	"-2.8472929448"	"-60.234141117"	""	"1"	"49.3"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17818"	"1266"	"Andira micrantha"	"Andira micrantha Ducke"	"Fabaceae"	"Andira"	"micrantha"	"Ducke"	"0"	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 19"	"Parcela 19"	"-2.8498957772"	"-60.233612638"	""	"0"	"30.4"	"E"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
"17820"	"31"	"Miconia"	"Miconia"	"Melastomataceae"	"Miconia"	""	""	""	""	""	""	""	""	""	""	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Transecto 2 Parcela 14"	"Parcela 14"	"-2.8477220982"	"-60.2340562083"	""	"0.2"	"16.9"	"D"	""	"0"	"0"	""	""	""	""	"Projeto03 - Parcelas & NIR"
