"WikiPlantaID"	"PlantaTag"	"Family"	"Genus"	"Species"	"LocalPai"	"LocalPai_DIMx"	"LocalPai_DIMy"	"Local"	"Local_DIMx"	"Local_DIMy"	"Local_Startx"	"Local_Starty"	"PlantaPos_X"	"PlantaPos_Y"	"PlantaPos_LADO"	"TraitName"	"TraitVariation"	"TraitVariationUNIT"	"TraitVariationDATE"	"CensoNome"
"17807"	"2439"	"Malvaceae"	"Scleronema"	"Scleronema micranthum"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.2"	"7.5"	"D"	"DAP"	"30"	"mm"	"2016-04-17"	""
"17807"	"2439"	"Malvaceae"	"Scleronema"	"Scleronema micranthum"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.2"	"7.5"	"D"	"Altura"	"2"	"m"	"2016-04-17"	""
"17808"	"172"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.2"	"7.8"	"D"	"DAP"	"53"	"mm"	"2016-04-17"	""
"17808"	"172"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.2"	"7.8"	"D"	"Altura"	"4"	"m"	"2016-04-17"	""
"17809"	"545"	"Malvaceae"	"Catostemma"	"Catostemma"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"1"	"21.9"	"D"	"DAP"	"61"	"mm"	"2016-04-17"	""
"17809"	"545"	"Malvaceae"	"Catostemma"	"Catostemma"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"1"	"21.9"	"D"	"Altura"	"3"	"m"	"2016-04-17"	""
"17810"	"1771"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.5"	"21.7"	"D"	"DAP"	"55"	"mm"	"2016-04-17"	""
"17810"	"1771"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.5"	"21.7"	"D"	"Altura"	"5"	"m"	"2016-04-17"	""
"17811"	"53"	"Arecaceae"	"Oenocarpus"	"Oenocarpus bataua"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.7"	"38.5"	"D"	"DAP"	"202"	"mm"	"2016-04-17"	""
"17811"	"53"	"Arecaceae"	"Oenocarpus"	"Oenocarpus bataua"	"Transecto 2"	"100"	"500"	"Parcela 15"	"10"	"50"	"0"	"0"	"0.7"	"38.5"	"D"	"Altura"	"5"	"m"	"2016-04-17"	""
"17812"	"1850"	"Pentaphylacaceae"	"Ternstroemia"	"Ternstroemia"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0"	"14.4"	"E"	"DAP"	"41"	"mm"	"2016-04-17"	""
"17812"	"1850"	"Pentaphylacaceae"	"Ternstroemia"	"Ternstroemia"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0"	"14.4"	"E"	"Altura"	"5"	"m"	"2016-04-17"	""
"17813"	"2388"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.3"	"41.5"	"D"	"DAP"	"135"	"mm"	"2016-04-17"	""
"17813"	"2388"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Transecto 2"	"100"	"500"	"Parcela 16"	"10"	"50"	"0"	"0"	"0.3"	"41.5"	"D"	"Altura"	"6"	"m"	"2016-04-17"	""
"17817"	"2460"	"Sapotaceae"	"Pradosia"	"Pradosia"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"1"	"49.3"	"E"	"DAP"	"107"	"mm"	"2016-04-17"	""
"17817"	"2460"	"Sapotaceae"	"Pradosia"	"Pradosia"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"1"	"49.3"	"E"	"Altura"	"5"	"m"	"2016-04-17"	""
"17818"	"1266"	"Fabaceae"	"Andira"	"Andira micrantha"	"Transecto 2"	"100"	"500"	"Parcela 19"	"10"	"50"	"0"	"0"	"0"	"30.4"	"E"	"DAP"	"35"	"mm"	"2016-04-18"	""
"17818"	"1266"	"Fabaceae"	"Andira"	"Andira micrantha"	"Transecto 2"	"100"	"500"	"Parcela 19"	"10"	"50"	"0"	"0"	"0"	"30.4"	"E"	"Altura"	"5"	"m"	"2016-04-18"	""
"17820"	"31"	"Melastomataceae"	"Miconia"	"Miconia"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.2"	"16.9"	"D"	"DAP"	"124"	"mm"	"2016-04-17"	""
"17820"	"31"	"Melastomataceae"	"Miconia"	"Miconia"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"0.2"	"16.9"	"D"	"Altura"	"5"	"m"	"2016-04-17"	""
"17821"	"340"	"Myrtaceae"	""	"Myrtaceae"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"8.2"	"29"	"D"	"DAP"	"270"	"mm"	"2016-04-17"	""
"17821"	"340"	"Myrtaceae"	""	"Myrtaceae"	"Transecto 2"	"100"	"500"	"Parcela 14"	"10"	"50"	"0"	"0"	"8.2"	"29"	"D"	"Altura"	"7"	"m"	"2016-04-17"	""
"17822"	"84"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Transecto 2"	"100"	"500"	"Parcela 17"	"10"	"50"	"0"	"0"	"0.7"	"23.3"	"E"	"DAP"	"35"	"mm"	"2016-04-17"	""
"17822"	"84"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Transecto 2"	"100"	"500"	"Parcela 17"	"10"	"50"	"0"	"0"	"0.7"	"23.3"	"E"	"Altura"	"2"	"m"	"2016-04-17"	""
"17823"	"2062"	"Clusiaceae"	"Tovomita"	"Tovomita"	"Transecto 2"	"100"	"500"	"Parcela 18"	"10"	"50"	"0"	"0"	"4.9"	"19.5"	"D"	"DAP"	"458"	"mm"	"2016-04-17"	""
"17823"	"2062"	"Clusiaceae"	"Tovomita"	"Tovomita"	"Transecto 2"	"100"	"500"	"Parcela 18"	"10"	"50"	"0"	"0"	"4.9"	"19.5"	"D"	"Altura"	"6"	"m"	"2016-04-17"	""
"17824"	"460"	"Arecaceae"	"Mauritia"	"Mauritia carana"	"Transecto 2"	"100"	"500"	"Parcela 19"	"10"	"50"	"0"	"0"	"0.2"	"32.2"	"D"	"DAP"	"331"	"mm"	"2016-04-18"	""
"17824"	"460"	"Arecaceae"	"Mauritia"	"Mauritia carana"	"Transecto 2"	"100"	"500"	"Parcela 19"	"10"	"50"	"0"	"0"	"0.2"	"32.2"	"D"	"Altura"	"6"	"m"	"2016-04-18"	""
"17825"	"1414"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Transecto 2"	"100"	"500"	"Parcela 19"	"10"	"50"	"0"	"0"	"0.6"	"44.1"	"D"	"DAP"	"167"	"mm"	"2016-04-18"	""
"17825"	"1414"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Transecto 2"	"100"	"500"	"Parcela 19"	"10"	"50"	"0"	"0"	"0.6"	"44.1"	"D"	"Altura"	"6"	"m"	"2016-04-18"	""
"17826"	"1920"	"Sapotaceae"	"Ecclinusa"	"Ecclinusa"	"Transecto 2"	"100"	"500"	"Parcela 19"	"10"	"50"	"0"	"0"	"6.1"	"49.3"	"D"	"DAP"	"372"	"mm"	"2016-04-18"	""
"17826"	"1920"	"Sapotaceae"	"Ecclinusa"	"Ecclinusa"	"Transecto 2"	"100"	"500"	"Parcela 19"	"10"	"50"	"0"	"0"	"6.1"	"49.3"	"D"	"Altura"	"6"	"m"	"2016-04-18"	""
"17833"	"2507"	"Rubiaceae"	""	"Rubiaceae"	"Transecto 2"	"100"	"500"	"Parcela 13"	"10"	"50"	"0"	"0"	"0.8"	"17.2"	"D"	"DAP"	"27"	"mm"	"2016-04-17"	""
